TUMOURICDSITE3CODE,OPCSRESECTIONCODE
C48OVARY,Q072
C48OVARY,Q073
C48OVARY,Q074
C48OVARY,Q075
C48OVARY,Q078
C48OVARY,Q079
C48OVARY,Q081
C48OVARY,Q082
C48OVARY,Q083
C48OVARY,Q088
C48OVARY,Q089
C48OVARY,Q221
C48OVARY,Q223
C48OVARY,Q231
C48OVARY,Q232
C48OVARY,Q235
C48OVARY,Q236
C48OVARY,Q241
C48OVARY,Q243
C48OVARY,Q438
C48OVARY,Q439
C48OVARY,Q473
C48OVARY,Q478
C48OVARY,Q491
C48OVARY,T331
C48OVARY,T332
C48OVARY,T338
C48OVARY,T339
C48OVARY,T361
C48OVARY,T362
C48OVARY,X141
C48OVARY,X142
C48OVARY,X143
C48OVARY,X148
C48OVARY,X149
C50,B271
C50,B272
C50,B273
C50,B274
C50,B275
C50,B276
C50,B278
C50,B279
C50,B281
C50,B282
C50,B283
C50,B284
C50,B285
C50,B286
C50,B287
C50,B288
C50,B289
C50,B341
C50,B342
C50,B343
C50,B352
C50,B353
C50,B374
C50,B401
C50,B408
C50,B409
C52,P171
C52,P172
C52,P178
C52,P179
C52,P201
C52,Q071
C53,P172
C53,Q011
C53,Q013
C53,Q018
C53,Q071
C53,Q072
C53,Q073
C53,Q074
C53,Q078
C53,Q079
C53,Q081
C53,Q082
C53,Q083
C53,Q088
C53,Q089
C53,X141
C53,X142
C53,X143
C53,X148
C53,X149
C54,Q071
C54,Q072
C54,Q073
C54,Q074
C54,Q075
C54,Q078
C54,Q079
C54,Q081
C54,Q082
C54,Q083
C54,Q088
C54,Q089
C54,Q093
C54,Q161
C54,Q221
C54,Q222
C54,Q223
C54,Q228
C54,Q229
C54,Q231
C54,Q232
C54,Q235
C54,Q236
C54,Q238
C54,Q239
C54,Q521
C54,X141
C54,X142
C54,X143
C54,X148
C54,X149
C55,Q071
C55,Q072
C55,Q073
C55,Q074
C55,Q075
C55,Q078
C55,Q079
C55,Q081
C55,Q082
C55,Q083
C55,Q088
C55,Q089
C55,Q093
C55,Q161
C55,Q221
C55,Q222
C55,Q223
C55,Q228
C55,Q229
C55,Q231
C55,Q232
C55,Q235
C55,Q236
C55,Q238
C55,Q239
C55,Q521
C55,X141
C55,X142
C55,X143
C55,X148
C55,X149
C56,H331
C56,H332
C56,H333
C56,H334
C56,H335
C56,H336
C56,H337
C56,H338
C56,H339
C56,Q071
C56,Q072
C56,Q073
C56,Q074
C56,Q075
C56,Q078
C56,Q079
C56,Q081
C56,Q082
C56,Q083
C56,Q088
C56,Q089
C56,Q221
C56,Q223
C56,Q231
C56,Q232
C56,Q235
C56,Q236
C56,Q241
C56,Q243
C56,Q438
C56,Q439
C56,Q473
C56,Q478
C56,Q491
C56,T331
C56,T332
C56,T338
C56,T339
C56,T361
C56,T362
C56,X141
C56,X142
C56,X143
C56,X148
C56,X149
C57,H331
C57,H332
C57,H333
C57,H334
C57,H335
C57,H336
C57,H337
C57,H338
C57,H339
C57,Q071
C57,Q072
C57,Q073
C57,Q074
C57,Q075
C57,Q078
C57,Q079
C57,Q081
C57,Q082
C57,Q083
C57,Q088
C57,Q089
C57,Q221
C57,Q223
C57,Q231
C57,Q232
C57,Q235
C57,Q236
C57,Q241
C57,Q243
C57,Q438
C57,Q439
C57,Q473
C57,Q478
C57,Q491
C57,T331
C57,T332
C57,T338
C57,T339
C57,T361
C57,T362
C57,X141
C57,X142
C57,X143
C57,X148
C57,X149
C61,M341
C61,M611
C61,M614
C61,M618
C61,M619
C61,M671
C61,M711
C61,X141
C62,N051
C62,N052
C62,N053
C62,N061
C62,N063
C62,N066
C62,N068
C62,N069
C62,N071
C62,N072
C62,N078
C62,N079
C62,N201
C62,X163
C62,X164
C62,X165
C62,X166
C64,M021
C64,M022
C64,M023
C64,M024
C64,M025
C64,M028
C64,M029
C64,M038
C64,M039
C64,M042
C64,M043
C64,M104
C64,M137
C64,M181
C64,M182
C64,M183
C64,M252
C64,Y112
C65,M021
C65,M022
C65,M023
C65,M024
C65,M025
C65,M028
C65,M029
C65,M038
C65,M039
C65,M042
C65,M104
C65,M137
C65,M181
C65,M182
C65,M183
C65,M252
C65,M291
C65,Y112
C66,M021
C66,M022
C66,M023
C66,M024
C66,M025
C66,M028
C66,M029
C66,M038
C66,M039
C66,M042
C66,M104
C66,M137
C66,M181
C66,M182
C66,M183
C66,M252
C66,M291
C66,Y112
C67,M341
C67,M342
C67,M343
C67,M344
C67,M348
C67,M349
C67,M359
C67,X142
C68,M021
C68,M022
C68,M023
C68,M024
C68,M025
C68,M028
C68,M029
C68,M038
C68,M039
C68,M042
C68,M104
C68,M137
C68,M181
C68,M182
C68,M183
C68,M252
C68,Y112
C70,A011
C70,A012
C70,A013
C70,A018
C70,A019
C70,A021
C70,A022
C70,A023
C70,A024
C70,A025
C70,A026
C70,A028
C70,A029
C70,A068
C70,A069
C70,A171
C70,A291
C70,A292
C70,A293
C70,A294
C70,A295
C70,A296
C70,A297
C70,A298
C70,A299
C70,A381
C70,A382
C70,A383
C70,A384
C70,A385
C70,A386
C70,A388
C70,A389
C70,A431
C70,A432
C70,A438
C70,A439
C70,A441
C70,A442
C70,A443
C70,A444
C70,A445
C70,A448
C70,A449
C70,A511
C70,A571
C70,A598
C70,A611
C70,B012
C70,B013
C70,B014
C70,B018
C70,B019
C70,B041
C70,B061
C70,B068
C70,C021
C70,V051
C70,V074
C70,V291
C70,V312
C70,V318
C70,V319
C70,V331
C70,V339
C70,V351
C70,V431
C70,V432
C70,V433
C70,V438
C70,V439
C71,A011
C71,A012
C71,A013
C71,A018
C71,A019
C71,A021
C71,A022
C71,A023
C71,A024
C71,A025
C71,A026
C71,A028
C71,A029
C71,A068
C71,A069
C71,A171
C71,A291
C71,A292
C71,A293
C71,A294
C71,A295
C71,A296
C71,A297
C71,A298
C71,A299
C71,A381
C71,A382
C71,A383
C71,A384
C71,A385
C71,A386
C71,A388
C71,A389
C71,A431
C71,A432
C71,A438
C71,A439
C71,A441
C71,A442
C71,A443
C71,A444
C71,A445
C71,A448
C71,A449
C71,A511
C71,A571
C71,A598
C71,A611
C71,B012
C71,B013
C71,B014
C71,B018
C71,B019
C71,B041
C71,B061
C71,B068
C71,C021
C71,V051
C71,V074
C71,V291
C71,V312
C71,V318
C71,V319
C71,V331
C71,V339
C71,V351
C71,V431
C71,V432
C71,V433
C71,V438
C71,V439
C72,A011
C72,A012
C72,A013
C72,A018
C72,A019
C72,A021
C72,A022
C72,A023
C72,A024
C72,A025
C72,A026
C72,A028
C72,A029
